feature,importance
UMCSENT_lag1,0.8947557083867015
M1SL_lag12,0.005575922788131692
VIXCLS_yoy,0.00506863311984674
CPIAUCSL_vol3,0.003176815575722791
UNRATE,0.0027983956862890347
INDPRO_vol3,0.0023594436104157706
CPIUFDSL_yoy,0.0021903398220028563
UMCSENT_lag6,0.002143992518009885
GASREGW,0.0018587711757264878
RSAFS_yoy,0.0017454768829222055
VIXCLS,0.0015529498296915634
CUSR0000SEHA_vol3,0.001161905537782575
MORTGAGE30US,0.0011279392362124252
VIXCLS_ma3,0.0011077582863935171
CPIAUCSL_yoy,0.0010643242189875683
GS10_vol3,0.0010505702171654824
GASREGW_lag6,0.0010326853689987914
PSAVERT_lag6,0.001017225160067008
UMCSENT_lag12,0.0010119627441834216
BUSINV_vol3,0.0009656010129604763
SP500_yoy,0.0009586142567770986
VIXCLS_pct,0.0009523722573863007
gas_x_income,0.0009270692667611207
INDPRO_pct,0.0009086630160523025
CC4WSA_lag12,0.0008986769344710873
HPIPONM226S_yoy,0.0008902442596025274
UNRATE_ma3,0.0008859721062406578
VIXCLS_lag12,0.000859080655749761
PERMIT_yoy,0.0008571925020559393
CPIAUCSL_pct,0.0008536794506168752
GASREGW_pct,0.0008466860132294859
GASREGW_yoy,0.0008243815186017407
PERMIT_vol3,0.0008237433557611582
VIXCLS_lag1,0.0008212984782159806
VIXCLS_vol3,0.0008159524350152143
DSPIC96_pct,0.0007889911116956563
TCMDO_vol3,0.0007737611842674167
PSAVERT_lag3,0.0007403413524764314
HOUST_vol3,0.0007402168362145527
CUSR0000SEHA_pct,0.0007381297724434969
CPIUFDSL_vol3,0.0007365487636620156
GS10_yoy,0.00073389167606886
DSPIC96_vol3,0.0007287359664014784
RSAFS_pct,0.0007184139031155922
CC4WSA_pct,0.0007164879244285996
M1SL_lag6,0.0007140629581525265
AHETPI_pct,0.0006901158482263394
HPIPONM226S_vol3,0.0006897364069550671
sp500_vix_ratio,0.0006710356538996465
MORTGAGE30US_yoy,0.0006677272557868881
M1SL_vol3,0.0006584454461737696
DSPIC96_yoy,0.0006509181235781948
unrate_x_cpi,0.0006452070105003556
DGORDER_pct,0.0006372437412351012
CPIUFDSL_pct,0.0006359266052232766
GS10,0.0006353300800360139
CSUSHPINSA_yoy,0.0006159261794271408
AHETPI_vol3,0.000595626091894773
VIXCLS_lag6,0.0005939495534358037
PERMIT,0.000571321500131321
CC4WSA,0.0005677596749851115
MORTGAGE30US_vol3,0.0005655642582256535
HPIPONM226S_pct,0.0005597960087846705
CSUSHPINSA_vol3,0.0005547705921166775
UNRATE_pct,0.0005481205311091758
GASREGW_vol3,0.0005472075018542996
PCE_pct,0.0005374881485430419
VIXCLS_lag3,0.0005143494215192477
M1SL_pct,0.0005135373630607705
housing_x_mortgage,0.000500811529773836
HOUST_pct,0.0004994215335626435
UMCSENT_lag3,0.0004968279436517389
RSAFS_vol3,0.0004935576860952601
FMNHSHPSIUS_ma3,0.00048781322929554894
HOUST_yoy,0.0004872573736359127
CSUSHPINSA_pct,0.00048044632198781454
DGORDER_vol3,0.00047917911400733134
CC4WSA_lag1,0.0004776231785014452
FEDFUNDS_vol3,0.0004739002168249991
BUSINV_pct,0.0004711183419896053
PSAVERT_vol3,0.00046827424708621
MORTGAGE30US_pct,0.00046675089322290107
GASREGW_lag1,0.0004659994115016203
PSAVERT_yoy,0.0004448241525892338
PSAVERT,0.0004441486183327216
UNRATE_lag12,0.0004434790037253566
CC4WSA_vol3,0.00043607361111833463
TCMDO_pct,0.00042589476958156586
PERMIT_lag6,0.00042310448320591093
INDPRO_ma3,0.0004202540656882584
HOUST_lag3,0.000415648097689912
FEDFUNDS_pct,0.0004015684429284755
CC4WSA_lag6,0.0004010295738775037
PERMIT_pct,0.0003909111894081088
PSAVERT_lag12,0.00039055031499631487
yield_curve_spread,0.0003883731971504668
GASREGW_lag12,0.00038659383066502083
M1SL_lag3,0.000372564961932631
FEDFUNDS,0.0003696894458226851
HOUST,0.0003687573504103049
M1SL_lag1,0.0003328419515153995
FMNHSHPSIUS_yoy,0.000331253346592613
PSAVERT_pct,0.0003274086449852613
GS10_pct,0.0003247312156253831
INDPRO_yoy,0.0003201802178110219
DGORDER_yoy,0.00031008786587697376
HOUST_lag1,0.00030330930945272975
AHETPI_yoy,0.0002994198104843747
M1SL_yoy,0.000293605030434094
MORTGAGE30US_lag3,0.00029161313265438143
FEDFUNDS_yoy,0.0002849342113886895
CC4WSA_yoy,0.00028050075671712894
PSAVERT_lag1,0.00028047828022459436
CSUSHPINSA_lag12,0.0002795865039861817
HOUST_ma3,0.00027496981313217115
GASREGW_lag3,0.00027055338399811725
UNRATE_vol3,0.00026796588252910286
TCMDO_yoy,0.000267230244348648
FMNHSHPSIUS_vol3,0.0002669779812850592
MORTGAGE30US_lag6,0.00026166777226071625
FMNHSHPSIUS_lag12,0.0002600873507104157
BUSINV_yoy,0.00025892954472763764
CSUSHPINSA_lag3,0.00025702620229699533
PERMIT_ma3,0.0002536370613847454
CSUSHPINSA,0.0002468139950967673
PCE_vol3,0.00024610714592507256
PCE_yoy,0.00024562448227586253
PERMIT_lag12,0.0002441610869620742
DGORDER_lag6,0.00023784611647198844
INDPRO_lag3,0.00023478365567804391
UNRATE_yoy,0.00022896197571983709
DGORDER_ma3,0.00022120035246560036
BUSINV_lag6,0.00021914240402698277
DGORDER,0.00021638681336836663
CPIUFDSL_lag12,0.00021259684188847114
M1SL_ma3,0.0002118616383205137
GASREGW_ma3,0.0002109125393698316
FMNHSHPSIUS_lag6,0.00021043702825885674
CSUSHPINSA_lag6,0.0002006952626050275
HOUST_lag12,0.0001983473561947198
CC4WSA_ma3,0.0001982196065362456
CUSR0000SEHA_yoy,0.0001949425331972352
UNRATE_lag3,0.0001937102274655945
GS10_lag12,0.00019217469277244765
HOUST_lag6,0.00019072310979421342
SP500_lag6,0.00018944524189829263
MORTGAGE30US_lag1,0.00018573219678784525
SP500_vol3,0.00018539590173251056
DSPIC96_lag6,0.00017247707206711306
GS10_ma3,0.00017236387200234387
SP500_lag12,0.0001649393393422711
FEDFUNDS_lag12,0.00016451407839972827
DGORDER_lag12,0.00016362204303163312
GS10_lag6,0.0001587790820102172
PERMIT_lag3,0.00015625773512990552
CPIUFDSL,0.00015367065512411802
CSUSHPINSA_ma3,0.00014815632408145978
DSPIC96_lag12,0.000134087540892522
CC4WSA_lag3,0.00013222845503178102
DSPIC96_lag3,0.00013061033805388767
PSAVERT_ma3,0.0001288005437195338
INDPRO_lag1,0.0001222680103632703
FMNHSHPSIUS_lag3,0.00012133400331002273
SP500_pct,0.00011953296347393493
DGORDER_lag1,0.00011871220259524888
INDPRO_lag12,0.00011823027185994966
HPIPONM226S_ma3,0.00011691025440854694
MORTGAGE30US_ma3,0.00011642372692223362
INDPRO_lag6,0.00011523974454225199
M1SL,0.00011324029758398125
FMNHSHPSIUS_pct,0.00010952953367701725
FEDFUNDS_ma3,0.00010943791088200443
FEDFUNDS_lag6,0.00010914687146911561
HPIPONM226S_lag1,0.00010163149997174519
GS10_lag3,0.00010110883521226886
UNRATE_lag6,9.490335463576145e-05
real_interest_rate,9.481651210301143e-05
CSUSHPINSA_lag1,9.260266600622623e-05
DGORDER_lag3,9.24022237964237e-05
PCE_lag6,8.770813381417398e-05
DSPIC96,8.666950814146773e-05
CPIUFDSL_lag1,8.623718988420932e-05
GS10_lag1,8.320819748781234e-05
FMNHSHPSIUS,8.28386406004039e-05
HPIPONM226S_lag12,8.07458183254967e-05
SP500_lag3,8.014289848287685e-05
RSAFS_lag6,7.799865771829318e-05
SP500,7.73168128719625e-05
PERMIT_lag1,7.402866400245856e-05
UNRATE_lag1,7.143424595898025e-05
FEDFUNDS_lag1,6.282653421656092e-05
BUSINV_lag12,6.12451557396706e-05
TCMDO,6.0107346972859114e-05
MORTGAGE30US_lag12,5.8887811178031085e-05
BUSINV,5.7596648172605306e-05
RSAFS_lag1,5.526347968089945e-05
PCE_lag12,5.294580105730155e-05
DSPIC96_lag1,5.2930629297646995e-05
FEDFUNDS_lag3,5.037470418466083e-05
CPIAUCSL_lag12,4.9997796738510666e-05
CPIAUCSL_lag3,4.886019058663707e-05
RSAFS_ma3,4.7444266386127426e-05
HPIPONM226S_lag3,4.50431740383248e-05
INDPRO,4.198789481943371e-05
BUSINV_ma3,4.0878140649062584e-05
AHETPI_lag12,3.958130319082922e-05
CPIAUCSL_lag6,3.908358154594158e-05
FMNHSHPSIUS_lag1,3.7666728780062815e-05
RSAFS_lag3,3.731387959982999e-05
CPIUFDSL_lag6,3.256585773026433e-05
AHETPI_lag3,3.155632138023672e-05
HPIPONM226S,2.9722838046421495e-05
BUSINV_lag1,2.928766845453266e-05
BUSINV_lag3,2.9058925685591472e-05
HPIPONM226S_lag6,2.7728611868532708e-05
CUSR0000SEHA_lag12,2.5600215926547708e-05
AHETPI,2.427719753729768e-05
PCE_lag1,2.395173771551486e-05
PCE_lag3,2.3090150882754503e-05
CUSR0000SEHA_lag3,2.3027990499177193e-05
AHETPI_lag6,2.264840596611394e-05
CPIUFDSL_ma3,2.166633839212861e-05
PCE,2.1263689734793002e-05
RSAFS_lag12,2.0496426729677705e-05
CPIAUCSL_lag1,1.9981924329587318e-05
TCMDO_ma3,1.8421693056504546e-05
SP500_ma3,1.795569060387659e-05
TCMDO_lag12,1.7730032266570273e-05
CPIAUCSL_ma3,1.7223451522132042e-05
CUSR0000SEHA_ma3,1.712901604337719e-05
AHETPI_lag1,1.643242686677864e-05
CUSR0000SEHA_lag6,1.606683339430442e-05
RSAFS,1.476746715646142e-05
CUSR0000SEHA,1.4422797042085122e-05
DSPIC96_ma3,1.3521804688607871e-05
CUSR0000SEHA_lag1,1.347421546464469e-05
TCMDO_lag6,1.2753443796567115e-05
CPIAUCSL,1.0280760645307997e-05
SP500_lag1,1.0006589544512447e-05
CPIUFDSL_lag3,9.073673442278227e-06
AHETPI_ma3,7.755646772376998e-06
PCE_ma3,6.319587758761112e-06
TCMDO_lag1,5.149395770950695e-06
TCMDO_lag3,4.853397589556641e-06
